model,user_id,premium_purchased,premium_purchased_this_month
nn,101,1,0
nn,101,1,0
nn,101,1,0
lr,102,1,0
nn,103,1,0
nn,103,1,0
nn,103,1,0
nn,103,1,0
lr,104,0,1
lr,104,0,1
lr,104,1,0
lr,104,0,1
nn,105,1,0
nn,105,1,0
nn,105,1,0
nn,105,1,0
nn,105,1,0
lr,106,1,0
lr,106,1,0
lr,106,1,0
lr,106,1,0
lr,106,1,0
nn,107,1,0
nn,107,1,0
nn,107,1,0
lr,108,0,1
lr,108,0,1
lr,108,0,1
lr,108,0,1
lr,108,1,0
nn,109,1,0
nn,109,1,0
nn,109,1,0
nn,109,1,0
nn,109,1,0
lr,110,1,0
lr,110,1,0
nn,111,1,0
nn,111,1,0
lr,112,1,0
lr,112,1,0
nn,113,1,0
nn,113,1,0
nn,113,1,0
nn,113,1,0
nn,113,1,0
nn,115,1,0
nn,115,1,0
lr,116,1,0
lr,116,1,0
lr,116,1,0
lr,116,1,0
nn,117,1,0
nn,117,1,0
nn,117,1,0
nn,117,1,0
lr,118,0,1
lr,118,0,1
lr,118,1,0
nn,119,1,0
nn,119,1,0
lr,120,0,1
lr,120,0,1
lr,122,1,0
lr,122,1,0
lr,122,1,0
nn,123,1,0
nn,123,1,0
nn,123,1,0
nn,123,1,0
lr,124,1,0
lr,124,1,0
nn,125,1,0
nn,125,1,0
nn,125,1,0
lr,126,1,0
lr,126,1,0
lr,126,1,0
nn,127,1,0
nn,127,1,0
nn,127,1,0
nn,127,1,0
lr,128,1,0
lr,128,1,0
lr,128,1,0
lr,128,1,0
nn,129,1,0
nn,129,1,0
lr,130,1,0
lr,130,0,1
lr,130,0,1
lr,130,1,0
nn,131,1,0
nn,131,1,0
lr,132,0,1
lr,132,0,1
nn,133,1,0
nn,133,1,0
nn,133,1,0
lr,134,1,0
lr,134,1,0
lr,134,1,0
nn,135,1,0
nn,135,1,0
lr,136,1,0
lr,136,1,0
lr,136,1,0
nn,137,1,0
lr,138,0,1
lr,138,0,1
nn,141,1,0
nn,141,1,0
nn,141,1,0
nn,141,1,0
lr,142,0,1
lr,142,0,1
lr,142,1,0
lr,142,1,0
nn,143,1,0
nn,143,1,0
nn,143,1,0
nn,143,1,0
lr,144,1,0
lr,144,1,0
lr,144,1,0
nn,145,1,0
nn,145,1,0
nn,145,1,0
nn,145,1,0
nn,145,1,0
lr,146,1,0
nn,147,1,0
nn,147,1,0
nn,147,1,0
nn,147,1,0
nn,149,1,0
nn,149,1,0
lr,150,1,0
lr,152,1,0
lr,152,1,0
lr,152,1,0
lr,152,1,0
lr,152,1,0
nn,153,1,0
nn,153,1,0
lr,154,0,1
lr,154,1,0
lr,154,1,0
nn,155,1,0
nn,155,1,0
lr,156,0,1
lr,156,0,1
lr,156,0,1
nn,157,1,0
nn,157,1,0
nn,157,1,0
nn,157,1,0
nn,157,1,0
lr,158,0,1
nn,159,1,0
nn,159,1,0
nn,159,1,0
lr,160,0,1
lr,160,1,0
lr,160,0,1
lr,164,0,1
lr,164,1,0
lr,164,0,1
nn,165,1,0
nn,165,1,0
nn,165,1,0
lr,166,0,1
lr,166,0,1
